token	number	frequency
life	singular	2389819
day	singular	2810238
children	plural	805837
power	singular	925187
women	plural	699211
information	singular	205334
water	singular	1281042
government	singular	642475
development	singular	164124
form	singular	749222
family	singular	629563
hand	singular	1768511
period	singular	361396
person	singular	555024
country	singular	1189815
school	singular	473434
study	singular	271554
effect	singular	424142
days	plural	1105864
nature	singular	814665
business	singular	587107
question	singular	621080
history	singular	568716
line	singular	614661
position	singular	495937
head	singular	1472625
action	singular	366864
child	singular	716224
policy	singular	139274
conditions	plural	221271
type	singular	162083
analysis	singular	42891
results	plural	162326
death	singular	970546
result	singular	308251
land	singular	783683
students	plural	70205
role	singular	15461
language	singular	292803
experience	singular	292251
mind	singular	1218665
matter	singular	844529
century	singular	356550
field	singular	357974
society	singular	395912
woman	singular	1091352
structure	singular	91483
function	singular	43005
service	singular	446894
mother	singular	1134037
theory	singular	161795
class	singular	289468
reason	singular	622436
program	singular	17898
father	singular	1423974
countries	plural	143434
section	singular	128120
night	singular	1547068
method	singular	174608
company	singular	513727
market	singular	131386
situation	singular	219516
city	singular	765659
treatment	singular	127928
party	singular	551399
idea	singular	494374
effects	plural	123893
relationship	singular	29678
support	singular	202498
activity	singular	89590
basis	singular	79098
studies	plural	76273
surface	singular	239439
services	plural	122904
amount	singular	208604
force	singular	493845
patients	plural	33457
care	singular	572735
movement	singular	221517
activities	plural	29748
food	singular	343035
property	singular	251930
story	singular	587871
space	singular	233165
hands	plural	1012243
cells	plural	53229
attention	singular	385637
practice	singular	184643
response	singular	52043
questions	plural	207547
account	singular	517729
court	singular	475609
culture	singular	71605
factors	plural	20819
income	singular	55973
trade	singular	246576
pressure	singular	107728
decision	singular	94438
workers	plural	51992
types	plural	45901
capital	singular	203722
source	singular	119512
hours	plural	463861
forms	plural	260692
difference	singular	204198
performance	singular	73012
lines	plural	320440
office	singular	411282
price	singular	206332
test	singular	84519
table	singular	533521
wife	singular	767315
methods	plural	102298
job	singular	110605
industry	singular	99935
quality	singular	137391
issues	plural	31219
feet	plural	854124
door	singular	932487
loss	singular	218952
disease	singular	128210
parents	plural	144046
