word;lemma
life;life
day;day
children;child
power;power
women;woman
information;information
water;water
government;government
development;development
form;form
family;family
hand;hand
period;period
person;person
country;country
school;school
study;study
effect;effect
days;day
nature;nature
business;business
question;question
history;history
line;line
position;position
head;head
action;action
child;child
policy;policy
conditions;condition
type;type
analysis;analysis
results;result
death;death
result;result
land;land
students;student
role;role
language;language
experience;experience
mind;mind
matter;matter
century;century
field;field
society;society
woman;woman
structure;structure
function;function
service;service
mother;mother
theory;theory
class;class
reason;reason
program;program
father;father
countries;country
section;section
night;night
method;method
company;company
market;market
situation;situation
city;city
treatment;treatment
party;party
idea;idea
effects;effect
relationship;relationship
support;support
activity;activity
basis;basis
studies;study
surface;surface
services;service
amount;amount
force;force
patients;patient
care;care
movement;movement
activities;activity
food;food
property;property
story;story
space;space
hands;hand
cells;cell
attention;attention
practice;practice
response;response
questions;question
account;account
court;court
culture;culture
factors;factor
income;income
trade;trade
pressure;pressure
decision;decision
workers;worker
types;type
capital;capital
source;source
hours;hour
forms;form
difference;difference
performance;performance
lines;line
office;office
price;price
test;test
table;table
wife;wife
methods;method
job;job
industry;industry
quality;quality
issues;issue
feet;foot
door;door
loss;loss
disease;disease
parents;parent
patient;patient
product;product
son;son
issue;issue
subject;subject
influence;influence
letter;letter
relations;relation
stage;stage
cent;cent
solution;solution
elements;element
events;event
condition;condition
products;product
differences;difference
friends;friend
discussion;discussion
resources;resource
forces;force
authority;authority
cell;cell
ideas;idea
direction;direction
application;application
town;town
environment;environment
temperature;temperature
morning;morning
persons;person
rule;rule
rules;rule
increase;increase
schools;school
image;image
programs;program
project;project
factor;factor
concept;concept
operation;operation
science;science
statement;statement
success;success
volume;volume
friend;friend
report;report
length;length
pattern;pattern
building;building
list;list
unit;unit
minutes;minute
instance;instance
relation;relation
functions;function
reasons;reason
author;author
reference;reference
site;site
literature;literature
student;student
weight;weight
lot;lot
choice;choice
economy;economy
fire;fire
security;security
effort;effort
oil;oil
date;date
phase;phase
distance;distance
opinion;opinion
staff;staff
sources;source
parties;party
week;week
failure;failure
agreement;agreement
pain;pain
reality;reality
future;future
companies;company
freedom;freedom
units;unit
efforts;effort
features;feature
picture;picture
circumstances;circumstance
families;family
meeting;meeting
husband;husband
sample;sample
nation;nation
leaders;leader
step;step
return;return
speech;speech
reaction;reaction
spirit;spirit
girl;girl
teacher;teacher
wall;wall
institutions;institution
act;act
demand;demand
opportunity;opportunity
animals;animal
aspects;aspect
plant;plant
relationships;relationship
weeks;week
procedure;procedure
film;film
teachers;teacher
equipment;equipment
investment;investment
marriage;marriage
actions;action
lives;life
contrast;contrast
event;event
contact;contact
boy;boy
argument;argument
answer;answer
religion;religion
responsibility;responsibility
stock;stock
requirements;requirement
measures;measure
exchange;exchange
operations;operation
decisions;decision
properties;property
conflict;conflict
floor;floor
plants;plant
formation;formation
hair;hair
patterns;pattern
policies;policy
employment;employment
definition;definition
subjects;subject
structures;structure
scale;scale
element;element
possibility;possibility
brother;brother
prices;price
sex;sex
soil;soil
bed;bed
king;king
resistance;resistance
hour;hour
village;village
gas;gas
letters;letter
window;window
classes;class
skills;skill
summer;summer
color;color
balance;balance
steps;step
description;description
team;team
skin;skin
benefits;benefit
powers;power
chance;chance
fear;fear
items;item
half;half
daughter;daughter
ratio;ratio
message;message
motion;motion
tree;tree
collection;collection
piece;piece
trees;tree
employees;employee
interpretation;interpretation
mouth;mouth
sales;sale
fields;field
measure;measure
officers;officer
attitude;attitude
procedures;procedure
matters;matter
error;error
scene;scene
tests;test
command;command
absence;absence
appearance;appearance
equation;equation
evening;evening
article;article
duty;duty
stories;story
goal;goal
philosophy;philosophy
birth;birth
girls;girl
practices;practice
cities;city
location;location
machine;machine
reports;report
boys;boy
version;version
bodies;bodie
consideration;consideration
deal;deal
note;note
attack;attack
sector;sector
generation;generation
selection;selection
press;press
protein;protein
code;code
leader;leader
bit;bit
drug;drug
fish;fish
sun;sun
hospital;hospital
college;college
rise;rise
origin;origin
difficulty;difficulty
claim;claim
sequence;sequence
experiences;experience
funds;fund
sites;site
transfer;transfer
goals;goal
agent;agent
comparison;comparison
images;image
situations;situation
combination;combination
vision;vision
pages;pag
career;career
creation;creation
reduction;reduction
passage;passage
perspective;perspective
firm;firm
examination;examination
review;review
projects;project
ship;ship
user;user
conclusion;conclusion
positions;position
officer;officer
layer;layer
portion;portion
labour;labour
reader;reader
firms;firm
statements;statement
movements;movement
division;division
exercise;exercise
mode;mode
assessment;assessment
walls;wall
aspect;aspect
stress;stress
stone;stone
committee;committee
sections;section
concepts;concept
hope;hope
audience;audience
agents;agent
authorities;authority
tissue;tissue
consequences;consequence
explanation;explanation
nations;nation
battle;battle
writer;writer
applications;application
citizens;citizen
struggle;struggle
feature;feature
difficulties;difficulty
proportion;proportion
opposition;opposition
composition;composition
couple;couple
authors;author
election;election
campaign;campaign
damage;damage
trouble;trouble
plane;plane
notes;note
provisions;provision
responses;response
periods;period
representation;representation
opportunities;opportunity
courts;court
baby;baby
television;television
master;master
benefit;benefit
survey;survey
accounts;account
doctor;doctor
categories;category
danger;danger
symptoms;symptom
pieces;piece
jobs;job
experiments;experiment
department;department
increases;increase
markets;market
horse;horse
curve;curve
distinction;distinction
mechanism;mechanism
claims;claim
writers;writer
resolution;resolution
foot;foot
drugs;drug
column;column
introduction;introduction
attitudes;attitude
limits;limit
entry;entry
defense;defense
address;address
crime;crime
soldiers;soldier
buildings;building
target;target
articles;article
percentage;percentage
stages;stage
farm;farm
probability;probability
device;device
document;document
sister;sister
relief;relief
sale;sale
contribution;contribution
advice;advice
tools;tool
provision;provision
demands;demand
payment;payment
radio;radio
determination;determination
bone;bone
observations;observation
sum;sum
estate;estate
revolution;revolution
call;call
band;band
experiment;experiment
category;category
bar;bar
solutions;solution
investigation;investigation
occasion;occasion
height;height
transition;transition
reactions;reaction
acts;act
tendency;tendency
observation;observation
conversation;conversation
documents;document
criticism;criticism
trust;trust
angle;angle
island;island
dollars;dollar
season;season
theories;theory
industries;industry
governments;government
frame;frame
animal;animal
settlement;settlement
assets;asset
corner;corner
assumption;assumption
plate;plate
bottom;bottom
publication;publication
beauty;beauty
block;block
tone;tone
substance;substance
depth;depth
owner;owner
intelligence;intelligence
preparation;preparation
conduct;conduct
manager;manager
edition;edition
transport;transport
variation;variation
poem;poem
doctrine;doctrine
consequence;consequence
samples;sample
chair;chair
centuries;century
pair;pair
dog;dog
evolution;evolution
director;director
noise;noise
injury;injury
employee;employee
debt;debt
unity;unity
exposure;exposure
arguments;argument
exception;exception
institution;institution
interview;interview
duties;duty
atmosphere;atmosphere
notice;notice
extension;extension
chain;chain
camp;camp
velocity;velocity
muscle;muscle
signal;signal
territory;territory
store;store
societies;society
instrument;instrument
infection;infection
conference;conference
particles;particle
languages;language
request;request
meetings;meeting
debate;debate
afternoon;afternoon
tool;tool
dinner;dinner
readers;reader
roles;role
amounts;amount
profit;profit
necessity;necessity
users;user
measurement;measurement
garden;garden
devices;device
heads;head
host;host
neck;neck
university;university
motor;motor
regulations;regulation
parent;parent
household;household
pictures;picture
farmers;farmer
commitment;commitment
ships;ship
budget;budget
democracy;democracy
perception;perception
implications;implication
tube;tube
lands;land
customers;customer
separation;separation
worker;worker
dream;dream
sugar;sugar
van;van
managers;manager
mechanisms;mechanism
birds;bird
circuit;circuit
artist;artist
partner;partner
regulation;regulation
arrangement;arrangement
limit;limit
root;root
participants;participant
trip;trip
domain;domain
instances;instance
proof;proof
transformation;transformation
silence;silence
anxiety;anxiety
translation;translation
errors;error
advance;advance
newspaper;newspaper
train;train
stream;stream
instruments;instrument
flowers;flower
illness;illness
medicine;medicine
sky;sky
route;route
ball;ball
wine;wine
mountain;mountain
centre;centre
breath;breath
mixture;mixture
depression;depression
impression;impression
fruit;fruit
resource;resource
item;item
customer;customer
spot;spot
horses;horse
wages;wage
decades;decade
payments;payment
equations;equation
salt;salt
lady;lady
measurements;measurement
foundation;foundation
skill;skill
sheet;sheet
challenge;challenge
gift;gift
kitchen;kitchen
delivery;delivery
card;card
towns;town
session;session
weather;weather
fingers;finger
possession;possession
flight;flight
phrase;phrase
contributions;contribution
survival;survival
references;reference
journey;journey
vessels;vessel
